Jahr,PLZ,GA,GA_flag,HTA,HTA_flag
2012,1000,72.00,,976.00,
2012,1003,744.00,,3195.00,
2012,1004,1919.00,,8167.00,
2012,1005,860.00,,4021.00,
2012,1006,1279.00,,5366.00,
2012,1007,1300.00,,6111.00,
2012,1008,388.00,,2519.00,
2012,1009,853.00,,5773.00,
2012,1010,467.00,,2443.00,
2012,1011,9.86,1,32.00,
2012,1012,548.00,,3445.00,
2012,1015,151.00,,3275.00,
2012,1018,636.00,,3607.00,
2012,1020,541.00,,2885.00,
2012,1022,216.00,,1145.00,
2012,1023,146.00,,1064.00,
2012,1024,268.00,,1982.00,
2012,1025,124.00,,1120.00,
2012,1026,126.00,,864.00,
2012,1027,108.00,,597.00,
2012,1028,182.00,,1047.00,
2012,1029,9.86,1,90.00,
2012,1030,231.00,,1372.00,
2012,1031,9.86,1,95.00,
2012,1032,87.00,,673.00,
2012,1033,74.00,,775.00,
2012,1034,9.86,1,137.00,
2012,1035,9.86,1,61.00,
2012,1036,9.86,1,162.00,
2012,1037,9.86,1,184.00,
2012,1038,25.00,,196.00,
2012,1040,133.00,,1155.00,
2012,1041,36.00,,409.00,
2012,1042,37.00,,313.00,
2012,1043,9.86,1,72.00,
2012,1044,9.86,1,102.00,
2012,1045,9.86,1,34.00,
2012,1046,9.86,1,41.00,
2012,1047,9.86,1,33.00,
2012,1052,179.00,,1496.00,
2012,1053,62.00,,625.00,
2012,1054,9.86,1,163.00,
2012,1055,28.00,,340.00,
2012,1058,9.86,1,64.00,
2012,1059,9.86,1,41.00,
2012,1061,9.86,1,27.00,
2012,1062,9.86,1,32.00,
2012,1063,9.86,1,155.00,
2012,1066,278.00,,2103.00,
2012,1068,9.86,1,22.00,
2012,1070,76.00,,509.00,
2012,1071,183.00,,932.00,
2012,1072,30.00,,302.00,
2012,1073,69.00,,712.00,
2012,1076,9.86,1,55.00,
2012,1077,30.00,,184.00,
2012,1078,9.86,1,51.00,
2012,1080,9.86,1,146.00,
2012,1081,9.86,1,104.00,
2012,1082,9.86,1,66.00,
2012,1083,28.00,,219.00,
2012,1084,9.86,1,145.00,
2012,1085,9.86,1,74.00,
2012,1088,9.86,1,48.00,
2012,1090,32.00,,304.00,
2012,1091,108.00,,779.00,
2012,1092,90.00,,817.00,
2012,1093,85.00,,789.00,
2012,1094,51.00,,408.00,
2012,1095,262.00,,1787.00,
2012,1096,105.00,,651.00,
2012,1097,9.86,1,90.00,
2012,1098,9.86,1,108.00,
2012,1110,878.00,,4277.00,
2012,1112,57.00,,279.00,
2012,1113,20.00,,117.00,
2012,1114,9.86,1,135.00,
2012,1115,9.86,1,107.00,
2012,1116,9.86,1,90.00,
2012,1117,9.86,1,79.00,
2012,1121,9.86,1,103.00,
2012,1122,9.86,1,82.00,
2012,1123,9.86,1,88.00,
2012,1124,25.00,,158.00,
2012,1125,9.86,1,123.00,
2012,1126,9.86,1,45.00,
2012,1127,9.86,1,33.00,
2012,1128,9.86,1,89.00,
2012,1131,104.00,,418.00,
2012,1132,35.00,,221.00,
2012,1134,68.00,,361.00,
2012,1135,33.00,,200.00,
2012,1136,9.86,1,95.00,
2012,1141,9.86,1,29.00,
2012,1142,35.00,,179.00,
2012,1143,46.00,,331.00,
2012,1144,9.86,1,98.00,
2012,1145,41.00,,246.00,
2012,1146,9.86,1,44.00,
2012,1147,24.00,,156.00,
2012,1148,59.00,,426.00,
2012,1149,9.86,1,48.00,
2012,1162,162.00,,1213.00,
2012,1163,84.00,,558.00,
2012,1164,28.00,,225.00,
2012,1165,21.00,,100.00,
2012,1166,48.00,,267.00,
2012,1167,23.00,,185.00,
2012,1168,25.00,,138.00,
2012,1169,51.00,,324.00,
2012,1170,120.00,,718.00,
2012,1172,20.00,,95.00,
2012,1173,21.00,,216.00,
2012,1174,9.86,1,95.00,
2012,1175,24.00,,159.00,
2012,1176,9.86,1,109.00,
2012,1180,253.00,,1373.00,
2012,1182,41.00,,230.00,
2012,1183,28.00,,166.00,
2012,1184,30.00,,191.00,
2012,1185,98.00,,545.00,
2012,1186,33.00,,117.00,
2012,1187,9.86,1,50.00,
2012,1188,70.00,,451.00,
2012,1189,9.86,1,49.00,
2012,1195,39.00,,278.00,
2012,1196,522.00,,2770.00,
2012,1197,189.00,,1140.00,
2012,1201,508.00,,6086.00,
2012,1202,563.00,,5921.00,
2012,1203,500.00,,5213.00,
2012,1204,155.00,,2221.00,
2012,1205,668.00,,6424.00,
2012,1206,286.00,,4267.00,
2012,1207,331.00,,3854.00,
2012,1208,215.00,,2652.00,
2012,1209,127.00,,1757.00,
2012,1212,130.00,,1576.00,
2012,1213,287.00,,3679.00,
2012,1214,63.00,,806.00,
2012,1215,9.86,1,344.00,
2012,1216,20.00,,253.00,
2012,1217,163.00,,2169.00,
2012,1218,111.00,,1466.00,
2012,1219,162.00,,1731.00,
2012,1220,38.00,,418.00,
2012,1222,48.00,,855.00,
2012,1223,53.00,,874.00,
2012,1224,113.00,,1561.00,
2012,1225,88.00,,975.00,
2012,1226,116.00,,1582.00,
2012,1227,350.00,,3940.00,
2012,1228,79.00,,997.00,
2012,1231,31.00,,494.00,
2012,1232,40.00,,666.00,
2012,1233,84.00,,1246.00,
2012,1234,38.00,,862.00,
2012,1236,9.86,1,172.00,
2012,1237,9.86,1,182.00,
2012,1239,23.00,,236.00,
2012,1241,20.00,,291.00,
2012,1242,31.00,,535.00,
2012,1243,9.86,1,77.00,
2012,1244,9.86,1,165.00,
2012,1245,24.00,,401.00,
2012,1246,9.86,1,303.00,
2012,1247,9.86,1,374.00,
2012,1248,9.86,1,144.00,
2012,1251,9.86,1,66.00,
2012,1252,9.86,1,255.00,
2012,1253,9.86,1,460.00,
2012,1254,9.86,1,191.00,
2012,1255,41.00,,780.00,
2012,1256,21.00,,414.00,
2012,1257,9.86,1,287.00,
2012,1258,27.00,,293.00,
2012,1260,1084.00,,5856.00,
2012,1261,68.00,,407.00,
2012,1262,42.00,,346.00,
2012,1263,20.00,,250.00,
2012,1264,85.00,,477.00,
2012,1265,9.86,1,32.00,
2012,1266,46.00,,290.00,
2012,1267,45.00,,397.00,
2012,1268,56.00,,482.00,
2012,1269,53.00,,297.00,
2012,1270,63.00,,379.00,
2012,1271,65.00,,266.00,
2012,1272,67.00,,543.00,
2012,1273,135.00,,634.00,
2012,1274,23.00,,200.00,
2012,1275,65.00,,283.00,
2012,1276,33.00,,316.00,
2012,1277,30.00,,309.00,
2012,1278,28.00,,245.00,
2012,1279,44.00,,402.00,
2012,1281,9.86,1,88.00,
2012,1283,9.86,1,193.00,
2012,1284,9.86,1,144.00,
2012,1285,9.86,1,203.00,
2012,1286,9.86,1,84.00,
2012,1287,9.86,1,102.00,
2012,1288,9.86,1,116.00,
2012,1290,130.00,,1636.00,
2012,1291,65.00,,630.00,
2012,1292,33.00,,564.00,
2012,1293,38.00,,457.00,
2012,1294,20.00,,360.00,
2012,1295,58.00,,773.00,
2012,1296,78.00,,872.00,
2012,1297,61.00,,750.00,
2012,1298,20.00,,125.00,
2012,1299,48.00,,570.00,
2012,1302,25.00,,305.00,
2012,1303,26.00,,217.00,
2012,1304,114.00,,789.00,
2012,1305,70.00,,523.00,
2012,1306,9.86,1,176.00,
2012,1307,9.86,1,60.00,
2012,1308,9.86,1,81.00,
2012,1312,25.00,,195.00,
2012,1313,20.00,,54.00,
2012,1315,81.00,,440.00,
2012,1316,9.86,1,45.00,
2012,1317,9.86,1,50.00,
2012,1318,9.86,1,120.00,
2012,1321,23.00,,124.00,
2012,1322,20.00,,94.00,
2012,1323,34.00,,130.00,
2012,1324,22.00,,39.00,
2012,1325,9.86,1,49.00,
